PC=00000026, SP=ffffffec, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffec, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffec, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffec, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffec, A=00000007, B=00000000sub 
PC=0000002b, SP=ffffffec, A=fffffff9, B=00000000brlz 00000004
PC=00000030, SP=ffffffec, A=fffffff9, B=00000000ldl 00000002
PC=00000031, SP=ffffffec, A=00000000, B=fffffff9brz 00000014
PC=00000046, SP=ffffffec, A=00000000, B=fffffff9ldc 00000001
PC=00000047, SP=ffffffec, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffec, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffef, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffef, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffef, A=00000007, B=00000001stl 00000000
PC=0000003d, SP=ffffffef, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffef, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffef, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffef, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffec, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffec, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffec, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffec, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffec, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffec, A=00000007, B=00000002sub 
PC=0000002b, SP=ffffffec, A=fffffffb, B=00000002brlz 00000004
PC=00000030, SP=ffffffec, A=fffffffb, B=00000002ldl 00000002
PC=00000031, SP=ffffffec, A=00000001, B=fffffffbbrz 00000014
PC=00000032, SP=ffffffec, A=00000001, B=fffffffbldl 00000003
PC=00000033, SP=ffffffec, A=00000007, B=00000001adc ffffffff
PC=00000034, SP=ffffffec, A=00000006, B=00000001stl 00000000
PC=00000035, SP=ffffffec, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffeb, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffeb, A=00000006, B=00000001stl 00000000
PC=00000038, SP=ffffffeb, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffeb, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffeb, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffeb, A=0000003b, B=00000000adj fffffffd
